# LED-Positionen in der Draufsicht. Eine Zeile je Anker:
#   ledIndex  x[m]  y[m]
# Grundflaeche 14.0 x 8.0 m, Ursprung senkrecht unter der Netzmitte,
# X nach rechts, Y nach vorn. Siehe docs/positionen-anleitung.md
193 3.080 3.227
321 1.587 3.520
389 1.560 3.067
527 3.133 0.827
599 3.907 -0.293
600 5.213 0.000
799 1.987 0.373
895 1.880 -0.880
990 0.760 -1.760
1023 0.573 -2.213
1063 0.173 -2.587
1109 0.040 -3.227
1199 -0.173 -3.920
1200 1.000 -3.707
1310 2.120 -2.800
1402 3.027 -2.053
1481 4.253 -1.867
1548 5.293 -1.573
1582 5.587 -1.227
1650 6.253 -0.640
1757 6.520 -0.053
1880 0.653 -3.413
1945 0.573 -2.213
1990 0.893 -2.773
2048 1.800 -3.040
2128 2.547 -2.000
2192 3.160 -1.573
2269 3.800 -0.560
2327 4.253 -0.107
2399 4.680 0.053
2400 1.304 -3.888
2440 0.971 -3.741
2558 -0.013 -3.307
2638 -0.680 -3.013
2783 -1.888 -2.482
2836 -2.760 -2.080
2999 -6.573 -0.320
3000 1.265 -4.000
3037 0.971 -3.741
3206 -0.373 -2.340
3305 -1.160 -1.520
3357 -1.827 -0.560
3402 -2.173 0.267
3447 -2.467 0.933
3473 -2.636 1.319
3599 -4.307 0.720
3755 -2.227 -0.373
4009 0.173 -2.587
4200 -5.053 0.373
4358 -1.827 -0.560
4431 -0.093 -0.053
4502 1.373 0.507
4598 3.160 1.413
4759 4.253 -0.693
4799 4.360 -0.693
4800 0.600 3.893
4907 1.587 3.520
5018 2.610 3.133
5094 4.040 3.733
5238 4.787 1.013
5283 5.240 0.293
5399 5.960 0.160
5400 0.440 3.893
5544 -0.282 1.450
5666 -0.813 -0.267
5719 -1.160 -1.520
5778 -2.227 -0.373
6000 1.053 -3.760
6106 1.907 -3.147
6138 2.013 -2.773
6191 2.489 -2.435
6251 3.027 -2.053
6305 2.547 -2.000
6339 2.120 -1.520
6379 2.093 -1.040
6466 3.133 0.827
6539 4.040 3.733
6562 3.080 3.227
6599 2.013 2.293
6600 1.133 -3.707
6703 2.013 -3.147
6799 2.440 -2.240
6834 2.596 -1.909
6962 4.200 -1.067
7119 6.227 -0.427
7199 7.000 -0.101
7200 -4.413 -0.080
7295 -2.760 -2.080
7647 0.040 -3.227
7799 1.249 -3.722
7800 -4.572 0.636
7928 -2.173 0.267
7961 -1.613 0.533
8039 -0.093 -0.053
8143 0.920 -0.747
8339 -0.493 -3.253
8399 -0.926 -4.000
8400 1.167 4.000
8526 1.560 3.067
8663 1.987 0.373
8735 2.188 -0.381
8770 2.286 -0.747
8868 2.867 -1.680
8881 2.596 -1.909
8999 4.147 -3.573
9162 0.467 2.453
9286 0.707 -0.213
9303 0.466 -0.699
9384 -0.680 -3.013
9488 -1.107 -2.613
9554 -2.360 -3.147
9599 -3.215 -3.510
9600 0.573 3.813
9745 1.113 2.376
9942 2.147 -0.560
10060 2.286 -0.747
10107 3.160 -1.573
10199 5.240 -1.440
10200 0.520 3.867
10318 -0.653 2.213
10355 -1.035 1.545
10411 -1.613 0.533
10475 -1.827 -0.080
10635 -2.467 -2.267
10693 -2.360 -3.147
10799 -1.853 -3.947
10800 5.587 0.053
10951 6.253 -0.640
11021 6.520 -1.067
11145 5.587 -1.227
11214 4.253 -1.867
11353 5.293 -0.427
11399 5.320 -0.320
11400 5.453 0.027
11522 6.520 -0.053
11595 6.227 -0.427
11690 6.520 -1.067
11759 5.960 -1.520
11948 5.160 -2.933
11999 4.944 -3.315
12000 5.373 -0.080
12073 4.787 1.013
12215 2.093 -1.040
12308 1.880 -0.880
12359 1.080 -1.520
12491 -0.373 -2.340
12600 5.587 0.187
12669 5.240 0.293
12710 3.800 -0.560
12852 2.867 -1.680
12884 2.440 -2.240
12917 2.489 -2.435
13028 2.120 -2.800
13076 0.893 -2.773
13114 0.760 -1.760
13309 -2.467 0.933
13425 -0.653 2.213
13490 -0.282 1.450
13561 1.373 0.507
13611 0.920 -0.747
13653 1.080 -1.520
13762 -0.013 -3.307
13915 -2.636 1.319
14318 3.160 1.413
14436 0.653 -3.413
14616 0.466 -0.699
14759 -1.053 1.040
14806 -1.035 1.545
15162 -0.493 -3.253
15280 -1.107 -2.613
15315 -2.467 -2.267
15389 -1.888 -2.482
15695 5.293 -0.427
15788 2.188 -0.381
15808 2.120 -1.520
15867 4.253 -0.693
16012 2.013 -3.147
16050 2.013 -2.773
16288 4.253 -0.107
16396 4.200 -1.067
16431 5.960 -1.520
16512 5.293 -1.573
16630 5.160 -2.933
16762 1.907 -3.147
17007 -1.053 1.040
17083 0.467 2.453
17141 1.113 2.376
17261 2.610 3.133
17523 -1.827 -0.080
17595 -0.813 -0.267
17700 0.707 -0.213
17831 2.147 -0.560
17870 1.800 -3.040
