# Melodie-Zuordnung, erzeugt von MelodyAssigner (topologiebasierte Melodiekomposition).
# Automatisch erzeugt, von Hand nachkorrigierbar - eine Neuberechnung ueberschreibt die Datei.
#
# Modus: phrygisch (Phrygisch)
# Startknoten: 0
# hubThreshold: 4
# rootMidiNote: 45
# numOctaves: 3
# notesPerOctaveSet: 21
# scaleSteps: 0 1 3 5 7 8 10
# Rueckwaertskanten: 63   (ohne Intervall-Garantie, siehe Konzept Abschnitt 6)
# Umbruchkanten: 7   (Oktavfaltung, siehe Konzept Schritt 3d)
# erzeugt: 2026-08-01T00:00:00
#
# Massgeblich ist scaleIndex. midiNote ist eine abgeleitete
# Kontrollspalte zum Mitlesen, tiefe ist reine Diagnose -
# beide werden beim Laden nicht ausgewertet.
# Bei doppeltem nodeId gewinnt die LETZTE Zeile.
#
# nodeId	scaleIndex	midiNote	tiefe
0	7	57	0
1	5	53	2
2	5	53	1
3	6	55	1
4	6	55	1
5	10	62	2
6	9	60	3
7	11	64	4
8	11	64	6
9	0	45	7
10	20	79	6
11	19	77	5
12	1	46	4
13	19	77	5
14	14	69	5
15	7	57	6
16	6	55	5
17	20	79	4
18	17	74	4
19	19	77	5
20	13	67	4
21	12	65	5
22	6	55	4
23	5	53	5
24	13	67	5
25	12	65	7
26	13	67	8
27	11	64	4
28	9	60	5
29	3	50	5
30	12	65	6
31	10	62	5
32	9	60	6
33	7	57	4
34	10	62	3
35	6	55	2
36	7	57	3
37	4	52	4
38	8	58	3
39	9	60	2
40	5	53	2
41	13	67	5
42	9	60	4
43	8	58	4
44	6	55	5
45	3	50	5
46	0	45	6
47	1	46	7
48	13	67	7
49	11	64	4
50	11	64	5
51	0	45	6
52	20	79	3
53	2	48	2
54	2	48	4
55	7	57	3
56	6	55	7
57	7	57	6
58	0	45	6
59	12	65	4
60	13	67	6
61	19	77	7
62	16	72	7
63	0	45	3
64	0	45	4
65	3	50	3
66	4	52	4
67	17	74	6
68	2	48	5
69	14	69	7
70	6	55	6
71	8	58	6
72	13	67	3
73	9	60	2
74	10	62	4
75	4	52	3
76	3	50	2
77	6	55	6
78	5	53	5
79	10	62	5
80	11	64	6
81	8	58	1
82	11	64	5
83	8	58	6
84	10	62	7
85	11	64	7
86	10	62	6
87	9	60	4
88	8	58	3
89	6	55	7
90	4	52	5
91	12	65	5
